,source,target,value
67,Japan,United States Army Forces,5
68,Australian,Japan,11
69,Australian,Japanese,5
70,Japanese,Solomon Islands,5
71,Japan,Solomon Islands,6
72,Japanese,New Guinea,4
73,India,Japanese,6
74,India,Japan,6
75,Australian,the Imperial Japanese Navy,6
76,Japanese,the Imperial Japanese Navy,5
77,Nazi Germany,the United States,6
78,the United Kingdom,the United States,6
79,New Mexico,the United Kingdom,5
80,Germany,New Mexico,5
81,The United States,the United States,3
82,Japan,The United States,11
83,Russia,the United States,12
84,Russia,the United Kingdom,6
85,France,the United Kingdom,6
86,France,India,6
87,India,Pakistan,18
88,Israel,Pakistan,6
89,Israel,South Africa,11
90,Israel,Libya,5
91,Iran,Libya,6
92,Iran,The United States,4
93,Germany,The United States,5
94,France,the United States,6
95,France,Japan,4
96,Japan,West Germany,6
97,India,Papua New Guinea,3
98,India,Indian,11
99,Pakistan,the People's Republic of Bangladesh,6
100,The United States,the People's Republic of Bangladesh,6
101,Philippines,The United States,6
102,Laos,Philippines,5
103,Cambodia,Laos,6
104,Cambodia,Jomo Kenyatta,5
105,Jomo Kenyatta,Kenya,6
106,Ghana,Kenya,6
107,Ghana,Seychelles,6
108,"Guinea-Bissau, Cape Verde",Seychelles,5
109,Angola,"Guinea-Bissau, Cape Verde",6
110,Angola,Mozambique,6
111,Mozambique,the Nigerian Civil War,3
112,the Nigerian Civil War,the Second Sudanese Civil War,6
113,the Bangladesh Liberation War,the Second Sudanese Civil War,6
114,Eastern Poland,Latvia,5
115,Estonia,Estonian,6
116,Estonian,Lithuania,6
117,Finland,Lithuania,6
118,Finland,Romania,6
119,Albania,Romania,5
120,Albania,Bulgaria,6
121,Bulgaria,Poland,6
122,Poland,Romania,6
123,Czechoslovakia,Romania,6
124,Czechoslovakia,Hungary,6
125,East Germany,Hungary,6
126,East Germany,Mongolia,4
127,Cuba,Mongolia,6
128,Cuba,Cuban,2
129,Cuban,United States,5
130,Japanese,United States,5
131,Canada,the United States,6
132,Australia,Canada,6
133,Australia,the Vietnam War,5
134,Vietnam,the Vietnam War,5
135,The United States,Vietnam,4
136,South Vietnam[199,The United States,6
137,North Vietnamese,South Vietnam[199,6
138,North Vietnamese,South Vietnamese,3
139,Cambodia,South Vietnamese,11
140,North Vietnam,South Vietnamese,5
141,North Vietnam,Vietnam,5
142,The Cuban Missile Crisis,Vietnam,6
143,Cuba,The Cuban Missile Crisis,5
144,Cuba,the United States,11
145,Cuba,United States,1
146,Finland,Russia,6
147,Finland,Nazi Germany,3
148,Germany,The Norway Campaign in World War Two,2
149,Germany,Invasion of Denmark,6
150,Invasion of Denmark,Norway,6
151,France Surrenders,Nazi Germany,6
152,Italy,Italy Tried,3
153,Greece,Italy Tried,6
154,Italy,The US Invasion of Italy,2
155,Central Italy,Italy,2
156,Anti-Japanese,Sino-Japanese,5
157,Anti-Japanese,The Avalon Project: Summary of the Three-Power Pact Between Germany,4
158,Italy,The Avalon Project: Summary of the Three-Power Pact Between Germany,6
159,Italy,Japan,6
160,Japan,The Forgotten Reason Why Japan Attacked Pearl Harbor,3
161,The Forgotten Reason Why Japan Attacked Pearl Harbor,The United States,2
162,Japan,The Declaration of War Against Japan,2
163,Australian,Philippines,2
164,Japan,Soviet Invasion of Manchuria: Finishing the Japanese Army,1
165,Japan,"Japanese Instrument of Surrender, 1945",2
166,Libya Nuclear Disarmament,Libya Nuclear Weapons Program,6
167,Iran,Libya Nuclear Disarmament,2
168,India,Indian Independence Day,7
169,Moldovans,Romania,6
170,Romania,Russia,6
171,Cuban Missile Crisis: For,the Cuban Missile Crisis,6
172,Nuclear Close Calls: The Cuban Missile Crisis,the Cuban Missile Crisis,2
173,India,Lebanon,1
174,India,Singapore,5
